"","X","chunkNo","seed","reps","n_bar","J","alpha","type","p","s","default","cov_x","scale","base_mean_x","sigma_x","mean_r","sigma_r","snr","mean_noise","sigma_noise","mean_adj_r_squared","mean_agreement","mean_y_rmse_fixed","mean_beta_rmse_fixed","mean_sensitivity_fixed","mean_specificity_fixed","mean_precision_fixed","mean_recall_fixed","mean_F1_fixed","mean_y_rmse_mixed","mean_beta_rmse_mixed","mean_sensitivity_mixed","mean_specificity_mixed","mean_precision_mixed","mean_recall_mixed","mean_F1_mixed","sd_adj_r_squared","sd_agreement","sd_y_rmse_fixed","sd_beta_rmse_fixed","sd_sensitivity_fixed","sd_specificity_fixed","sd_precision_fixed","sd_recall_fixed","sd_F1_fixed","sd_y_rmse_mixed","sd_beta_rmse_mixed","sd_sensitivity_mixed","sd_specificity_mixed","sd_precision_mixed","sd_recall_mixed","sd_F1_mixed"
"11",1,1,318,20,50,5,0.5,2,12,4,1,0.25,1,0,1,0,2,0.2,0,1,0.136228285691691,0.5625,22.3251585234786,0.664377221852867,0.625,0.525,0.409642857142857,0.625,0.481378066378066,21.9215558381443,1.08587358906433,0.9875,0.05,0.346212121212121,0.9875,0.51,0.0410129749550608,0.168574605622611,6.54733701391968,0.175403941598944,0.236476325731729,0.192797958058634,0.123829343410733,0.236476325731729,0.145210861017332,6.40819883398162,0.408020075227307,0.0559016994374947,0.14281014264437,0.0378468765101252,0.0559016994374947,0.0244231699021682
"12",1,1,368,20,50,5,0.5,3,12,4,1,0.25,1,0,1,0,2,0.2,0,1,0.150270222306869,0.554166666666667,80.629592592928,2.99301236301047,0.6625,0.56875,0.429464285714286,0.6625,NA,79.2670675058181,3.8098962712936,0.9875,0.075,0.348484848484849,0.9875,0.515,0.038596785719962,0.102151561517521,19.3820336363834,0.817242096933686,0.233325501121682,0.110880151040377,0.138681063929222,0.233325501121682,NA,19.0238578597735,1.2488412343713,0.0559016994374947,0.0628280862437543,0.0230571487955358,0.0559016994374947,0.0314837747129444
"13",1,1,418,20,50,5,0.5,4,12,4,1,0.25,1,0,1,0,2,0.2,0,1,0.0464048565298793,0.529166666666667,31.7941798431089,3.45333725029927,0.625,0.7375,NA,0.625,NA,31.0520671471839,2.90354902649259,0.9125,0.2125,0.380833333333333,0.9125,0.531568986568987,0.0282045588421137,0.252581698901332,1.52935014427285,0.447930120553395,0.262828741518923,0.29774370822819,NA,0.262828741518923,NA,1.34499929784108,0.301697047567466,0.122340121232398,0.207189844294906,0.112231103739819,0.122340121232398,0.108272679186998
"14",1,1,468,20,50,5,0.5,5,12,4,1,0.25,1,0,1,0,2,0.2,0,1,0.147647562566977,0.595833333333333,21.2190090549356,0.749496838128123,0.541666666666667,NA,1,0.541666666666667,0.686058260624824,20.7909709003631,1.10552587816971,0.945833333333333,NA,1,0.945833333333333,0.961842105263158,0.0364839371584471,0.197341616113511,6.75222329636521,0.261307269991131,0.182373884967472,NA,0,0.182373884967472,0.149748615842032,6.59219445774083,0.423389009910925,0.171583185288315,NA,0,0.171583185288315,0.123572177703936
"15",1,1,518,20,50,5,0.5,1,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.226616482348183,0.595833333333333,14.6713048463077,0.53819549353792,0.725,0.4875,0.407718253968254,0.725,NA,14.3793642753879,0.756966244813569,0.9625,0.05,0.343181818181818,0.9625,0.493333333333333,0.0524383880496253,0.1628398380787,4.22128317521483,0.133417879567036,0.279802561968633,0.185404962177392,0.155258477329231,0.279802561968633,NA,4.14667300980303,0.209159918566334,0.167705098312484,0.196180636417724,0.0375262703400862,0.167705098312484,0.0383885947974957
"16",1,1,568,20,50,5,0.5,2,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.225517062761456,0.620833333333333,13.1155727065346,0.497851456512389,0.8,0.46875,0.434742063492063,0.8,0.559243534243534,12.8372410266816,0.682417303746792,0.925,0.1625,0.42049062049062,0.925,0.510466200466201,0.0479139249104271,0.130996517966312,2.87140839055876,0.130171907763422,0.191942973987479,0.151065296094803,0.106565282789294,0.191942973987479,0.127220085561968,2.75745377557646,0.213058860552507,0.23084512921916,0.327219144337633,0.206197733856504,0.23084512921916,0.0668847780683072
"17",1,1,618,20,50,5,0.5,3,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.257655390988555,0.583333333333333,53.7516136887372,2.64999726169161,0.7375,0.5375,0.447460317460317,0.7375,0.547738927738928,52.8276332332773,3.23126357158906,0.975,0.03125,0.334848484848485,0.975,0.498333333333333,0.0463297014147467,0.123898656945838,11.080314369051,0.571561842314156,0.236128310347083,0.1467857371531,0.113277703866944,0.236128310347083,0.147917705252119,10.866231851144,0.825566658538321,0.0769483764063866,0.0555327072899149,0.0250175135600575,0.0769483764063866,0.0366347548532523
"18",1,1,668,20,50,5,0.5,4,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.112545049230635,0.666666666666667,22.8730415199571,3.02532517621942,0.8625,0.5,0.520351731601732,0.8625,0.617700632700633,22.535662359899,2.78038457551241,0.9125,0.1625,0.377931096681097,0.9125,0.517309357309357,0.0358158258219718,0.229415733870562,1.15933743759444,0.340684686918661,0.171583185288315,0.289623167145462,0.194666196650297,0.171583185288315,0.117426489143862,1.11517477258254,0.414965912527171,0.1467857371531,0.250328731239965,0.152541271904194,0.1467857371531,0.0975057301236266
"19",1,1,718,20,50,5,0.5,5,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.235492830663719,0.6,14.764458277161,0.535334315143158,0.591666666666667,NA,1,0.591666666666667,0.735432603247249,14.5531894154852,0.723628195601411,0.975,NA,1,0.975,0.98613777526821,0.0543461644991793,0.131344820942069,4.90818138864359,0.150881365185707,0.13217700342313,NA,0,0.13217700342313,0.102365161531441,4.86723434693663,0.250655481449659,0.0667762257655026,NA,0,0.0667762257655026,0.0375007085920228
"20",1,1,768,20,50,5,0.5,1,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.316759828753991,0.675,11.9188297921152,0.486637065666841,0.7875,0.39375,0.39656746031746,0.7875,0.524468309468309,11.7096166756743,0.612689193258265,0.9375,0.05625,0.32030303030303,0.9375,NA,0.0372391431514521,0.11438879019221,3.1344483515651,0.121261149524061,0.218773494978855,0.158503486596219,0.102416587203801,0.218773494978855,0.135571763658066,3.09813841261344,0.170802659703294,0.227616367000082,0.154297005121531,0.0795637178092453,0.227616367000082,NA
"21",1,1,818,20,50,5,0.5,2,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.302440298370878,0.679166666666667,10.695907845525,0.526410186529045,0.8125,0.3875,0.403829365079365,0.8125,0.535068265068265,10.485058636125,0.627985821265166,1,0,0.333333333333333,1,0.5,0.0539252116208629,0.130437298687488,3.06687088441165,0.144723193056814,0.254886455629086,0.185404962177392,0.12423489006444,0.254886455629086,0.157506849389014,3.02309048034738,0.205936562400926,0,0,0,0,0
"22",1,1,868,20,50,5,0.5,3,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.305638557299588,0.645833333333333,43.5606198161864,2.46750629344063,0.8,0.45,0.437738095238095,0.8,0.555359362859363,42.8233214872872,2.8249640698124,0.9875,0.025,0.336363636363636,0.9875,0.501666666666667,0.0623025675054824,0.159666593414626,14.3096506901313,0.534610213199655,0.208377188366623,0.21989830185314,0.133036371921845,0.208377188366623,0.136923395116752,14.0840288123949,0.712423425261303,0.0559016994374947,0.0512989176042577,0.0194158568338542,0.0559016994374947,0.0275192649160632
"23",1,1,918,20,50,5,0.5,4,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.14748425082137,0.5125,20.1687806631156,3.02049013707519,0.8,0.675,0.607599206349206,0.8,0.662227494727495,19.7284111203341,2.73091617504691,0.925,0.15625,0.365465367965368,0.925,0.51469696969697,0.0457103053904409,0.204615957487385,1.34448738113169,0.39434639071184,0.208377188366623,0.23438048239202,0.209714828173465,0.208377188366623,0.14621018438351,1.31033240054372,0.466940600865139,0.164236671332947,0.236041226327766,0.0753129050063742,0.164236671332947,0.0724602170527808
"24",1,1,968,20,50,5,0.5,5,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.309309788125847,0.7375,11.3495557357923,0.514845182576553,0.733333333333333,NA,1,0.733333333333333,0.840120162065242,11.1513208606567,0.603085980293245,0.995833333333333,NA,1,0.995833333333333,0.997826086956522,0.0348719401212432,0.1247072595513,2.32971158109005,0.113033026116111,0.12853197203909,NA,0,0.12853197203909,0.0859813688136464,2.32967424011299,0.128683512789825,0.0186338998124983,NA,0,0.0186338998124983,0.00972203468478169
