"","X","chunkNo","seed","reps","n_bar","J","alpha","type","p","s","default","cov_x","scale","base_mean_x","sigma_x","mean_r","sigma_r","mean_noise","sigma_noise","mean_adj_r_squared","mean_agreement","mean_y_rmse_fixed","mean_beta_rmse_fixed","mean_sensitivity_fixed","mean_specificity_fixed","mean_precision_fixed","mean_recall_fixed","mean_F1_fixed","mean_y_rmse_mixed","mean_beta_rmse_mixed","mean_sensitivity_mixed","mean_specificity_mixed","mean_precision_mixed","mean_recall_mixed","mean_F1_mixed","sd_adj_r_squared","sd_agreement","sd_y_rmse_fixed","sd_beta_rmse_fixed","sd_sensitivity_fixed","sd_specificity_fixed","sd_precision_fixed","sd_recall_fixed","sd_F1_fixed","sd_y_rmse_mixed","sd_beta_rmse_mixed","sd_sensitivity_mixed","sd_specificity_mixed","sd_precision_mixed","sd_recall_mixed","sd_F1_mixed"
"677",1,3,22270,20,40,5,1,3,8,4,1,0.25,1,0,1,0,2,0,1,0.900501441896479,1,8.94593601102459,2.13755184439643,1,0,0.5,1,0.666666666666667,8.50189986173557,2.21713559162159,1,0,0.5,1,0.666666666666667,0.0594756040253956,0,0.467887108178498,0.19203599216779,0,0,0,0,0,0.530406155017996,0.182036691961729,0,0,0,0,0
"678",1,3,22320,20,60,5,1,3,8,4,1,0.25,1,0,1,0,2,0,1,0.908214808736399,0.9875,9.04880913944359,2.09005137387045,1,0,0.5,1,0.666666666666667,8.67354512333139,2.16655014679367,0.9875,0.0125,0.5,0.9875,0.663636363636364,0.054849035637119,0.0384741882031933,0.44686492110715,0.189345312691266,0,0,0,0,0,0.408929778164724,0.176304370072323,0.0559016994374947,0.0559016994374947,0.0231744887329661,0.0559016994374947,0.0309344112444873
"679",1,3,22370,20,80,5,1,3,8,4,1,0.25,1,0,1,0,2,0,1,0.873192265826236,1,9.17458635601879,2.13665128332384,1,0,0.5,1,0.666666666666667,8.84711814447603,2.20935349253122,1,0,0.5,1,0.666666666666667,0.0715878365072572,0,0.400855497883687,0.109996050960383,0,0,0,0,0,0.377839746765907,0.108759930946709,0,0,0,0,0
"680",1,3,270,20,40,5,1,1,8,4,1,0.25,0,0,1,0,2,0,1,0.420844555071801,0.8875,2.48473631770075,0.368239686475063,0.9875,0.175,0.55,0.9875,0.704545454545455,1.75426449444343,0.330336991755715,1,0.2125,0.566190476190476,1,0.720808080808081,0.119744992065378,0.12760444638351,0.570400717016556,0.0545783461130005,0.0559016994374947,0.183173774266262,0.0602833742671442,0.0559016994374947,0.0537016065768458,0.0945403040977347,0.0295527022619935,0,0.186289955092649,0.0693498699605111,0,0.0526216756963496
"681",1,3,320,20,60,5,1,1,8,4,1,0.25,0,0,1,0,2,0,1,0.494012593428606,0.85,2.18103967800403,0.333585721397182,1,0.1,0.530952380952381,1,0.692121212121212,1.74012564581591,0.321660479847108,0.9875,0.2875,0.616428571428571,0.9875,0.744372294372294,0.0834132392408042,0.174905989786393,0.327907436963413,0.0401904516666296,0,0.17013926184468,0.0546773892883643,0,0.044301156096562,0.0753140240908015,0.0396967627211434,0.0559016994374947,0.356102808927865,0.166938375014949,0.0559016994374947,0.101777806066937
"682",1,3,33320,20,60,5,1,4,16,4,1,0.25,1,0,1,0,2,0,1,0.439891081481734,0.521875,9.68064620438317,2.28508472881967,0.9875,0.6375,0.534749694749695,0.9875,0.673771947007241,9.45307599843165,2.13980615958171,0.9875,0.0333333333333333,0.254285714285714,0.9875,0.404327485380117,0.0435404395629398,0.156118365604266,0.49276333286615,0.084091333739304,0.0559016994374947,0.216759426837236,0.212958790152123,0.0559016994374947,0.166238163015229,0.599005107837276,0.0942124359920585,0.0559016994374947,0.0498535868013432,0.0163430814783839,0.0559016994374947,0.0244426919101206
"683",1,3,33370,20,80,5,1,4,16,4,1,0.25,1,0,1,0,2,0,1,0.443348950267811,0.5875,9.68088381106224,2.27691888680971,1,0.583333333333333,0.483169608169608,1,0.639571702806997,9.63944001841048,2.2014290107753,0.95,0.0666666666666667,0.25748778998779,0.95,0.403596888147972,0.0543213760803315,0.160180818879297,0.465866319705235,0.132837043976431,0,0.221306593184963,0.146871605036538,0,0.128055104613308,0.625564718710679,0.214265046444194,0.102597835208515,0.136797113611354,0.0513912256780321,0.102597835208515,0.0645018272172525
"684",1,3,370,20,80,5,1,1,8,4,1,0.25,0,0,1,0,2,0,1,0.413400374667137,0.8625,2.55542321801871,0.336952534823656,1,0.0375,0.510714285714286,1,0.675757575757576,1.81000178269209,0.309074296234539,1,0.2875,0.610238095238095,1,0.748686868686869,0.0808622126932373,0.14566092565667,0.448819338588657,0.0324737703560331,0,0.0915868871331308,0.0261676820380374,0,0.0222028817292439,0.0801437507243443,0.0286164650711307,0,0.317006973192439,0.152750765223633,0,0.103109287880167
"685",1,3,50020,20,20,5,0,1,16,4,1,0.25,2,0,1,0,2,0,1,0.974085683104167,0.871875,1.72396504964512,0.297181083402752,1,0.170833333333333,0.288836996336996,1,0.447622979016168,1.56652777399047,0.295372367010286,1,0,0.25,1,0.4,0.0332028355463193,0.0744359270570476,0.168766235990462,0.0408860973024201,0,0.0992479027427301,0.0259662561944537,0,0.0308523523530739,0.133253245972508,0.0391487136858442,0,0,0,0,0
"686",1,3,50070,20,40,5,0,1,16,4,1,0.25,2,0,1,0,2,0,1,0.977432868058051,0.971875,1.80738992229875,0.255031933149577,1,0.0375,0.257884615384615,1,0.40984520123839,1.6536999432027,0.257126401333806,1,0,0.25,1,0.4,0.0198820493303807,0.0474471659072655,0.0649834541251898,0.0219664088939989,0,0.063262887876354,0.0140520195931222,0,0.0173257019176457,0.0712504964914329,0.0190997230424748,0,0,0,0,0
"687",1,3,50120,20,60,5,0,1,16,4,1,0.25,2,0,1,0,2,0,1,0.981291616546725,0.975,1.8396580784547,0.265921643972914,1,0.0333333333333333,0.256666666666667,1,0.408421052631579,1.69953706573344,0.266754652486846,1,0,0.25,1,0.4,0.0131826549736394,0.0314140431218772,0.0655454811123211,0.0179227295917173,0,0.0418853908291695,0.00837707816583391,0,0.0105815724200007,0.0764719211756731,0.0168773378687697,0,0,0,0,0
